index,year,region_id,region,crops_affected_by_disasters
428,2021,9,Huancavelica,21348
429,2021,10,Huanuco,16105
430,2021,11,Ica,3639
431,2021,12,Junin,7969
432,2021,13,La Libertad,639
433,2021,14,Lambayeque,69
434,2021,15,Lima,176
435,2021,16,Loreto,3141
436,2021,17,Madre de Dios,2897
437,2021,18,Moquegua,263
438,2021,19,Pasco,370
439,2021,20,Piura,365
440,2021,21,Puno,4556
441,2021,22,San Martin,176
442,2021,23,Tacna,227
443,2021,24,Tumbes,24
444,2021,25,Ucayali,2603
445,2022,0,Nacional,74538.948
446,2022,1,Amazonas,3678
447,2022,2,Ancash,43
448,2022,3,Apurimac,5508
449,2022,4,Arequipa,548
450,2022,5,Ayacucho,18355
451,2022,6,Cajamarca,1291
452,2022,7,Callao,0
453,2022,8,Cusco,4415
454,2022,9,Huancavelica,12097
455,2022,10,Huanuco,4053
456,2022,11,Ica,0
457,2022,12,Junin,811
458,2022,13,La Libertad,123
459,2022,14,Lambayeque,7
460,2022,15,Lima,435
461,2022,16,Loreto,1217
462,2022,17,Madre de Dios,16
463,2022,18,Moquegua,199
464,2022,19,Pasco,1147
465,2022,20,Piura,423
466,2022,21,Puno,18468
467,2022,22,San Martin,54
468,2022,23,Tacna,33
469,2022,24,Tumbes,82
470,2022,25,Ucayali,1537
